,user,text,polarity
20,itsoulformula, I guess Mr. President some people are so filled with hate they can’t see that they’re ahead. They… https://t.co/ZaBiHx08bY,"Sentiment(polarity=-0.2, subjectivity=0.9)"
21,PfleegerLinda, idiot,"Sentiment(polarity=-0.8, subjectivity=0.8)"
22,Onlimoi, https://t.co/yIARD7LDkU,"Sentiment(polarity=0.0, subjectivity=0.0)"
23,RealCleverStag, Donald Lies... Trump Signs Executive Orders On Drug Prices.. policy experts say they will likely o… https://t.co/zJ272KemnW,"Sentiment(polarity=0.0, subjectivity=1.0)"
24,PhillipLloydNe1, Repeating yourself again. Sounds like you have Alzheimer's.,"Sentiment(polarity=0.0, subjectivity=0.0)"
25,DELETETRUMP9, https://t.co/yEjC35jqyL,"Sentiment(polarity=0.0, subjectivity=0.0)"
26,Calqlus, https://t.co/CRjjBo9HH2,"Sentiment(polarity=0.0, subjectivity=0.0)"
27,SendHelp_hurry, Part D was not in existence 51 years ago.   U lie.   Drugs were not covered until Bush admin.   U… https://t.co/n53eIbOo1e,"Sentiment(polarity=0.0, subjectivity=0.0)"
28,tommy_lowell, The following chart shows a 3 month decline of Covid fatalities. Something the media won't show. https://t.co/3Q2JioHKPB,"Sentiment(polarity=0.0, subjectivity=0.1)"
29,ThomasEBrown3," 'He was an amazing guy': Arizona man, 36, dies from COVID-19 https://t.co/GWpuKJVZDj","Sentiment(polarity=0.6000000000000001, subjectivity=0.9)"
30,quackers_cheese," I don't want my 'D' reduced, even with a prescription.  I'm fine with its current length and girth.","Sentiment(polarity=0.20833333333333334, subjectivity=0.45)"
31,YRTGROUP, @potus Just keep up doing what you’re doing having the press conferences making sure that people k… https://t.co/wxDap9cd28,"Sentiment(polarity=0.5, subjectivity=0.8888888888888888)"
32,SendHelp_hurry, UR press conf was a waste of time.    U wiped out drug rebates which are claimed to LOWER drug pri… https://t.co/yibeJI0auZ,"Sentiment(polarity=-0.2, subjectivity=0.0)"
33,EzerethJenkins4, They are telling the truth. Trump is getting a hard Laugh while he suggest Trumpcare that will not… https://t.co/b7ZxzrqTcU,"Sentiment(polarity=0.004166666666666652, subjectivity=0.3208333333333333)"
34,CanYouHelp15, Oh poor Little Donnie! Nobody likes him.,"Sentiment(polarity=-0.3171875, subjectivity=0.55)"
35,ThomasEBrown3," Doctor retweeted by Trump has warned of alien DNA, sex with demons https://t.co/nFIS1PAsNx","Sentiment(polarity=-0.25, subjectivity=0.75)"
36,SendHelp_hurry, U haven't done crap for Part D. This is not a price reduction... NO ONE can use ur piece of paper/… https://t.co/cBiZ7Y74p4,"Sentiment(polarity=-0.8, subjectivity=0.8)"
37,AnandoRamen, Prove it.,"Sentiment(polarity=0.0, subjectivity=0.0)"
38,ThomasEBrown3, McConnell's Wife's Family Business Appears on Trump Admin's List of Companies That Received Most P… https://t.co/OxNCuLnArg,"Sentiment(polarity=0.5, subjectivity=0.5)"
39,silkyest1," People are dying, 146,378 deaths in America?  Don’t interrupt though because Grandma needs an afte… https://t.co/dqEJix2H0o","Sentiment(polarity=0.0, subjectivity=0.0)"
40,wendyfargo2, We are noticing.,"Sentiment(polarity=0.0, subjectivity=0.0)"
41,Corvette_9, Truth!!!,"Sentiment(polarity=0.0, subjectivity=0.0)"
42,YRTGROUP, @DonaldJTrumpJr Am I correct? Wasn’t the #potus allowed to break in to the news with an announceme… https://t.co/3H1ymSjKCv,"Sentiment(polarity=0.0, subjectivity=0.0)"
43,DPowers49, More lies,"Sentiment(polarity=0.5, subjectivity=0.5)"
44,silkyest1, https://t.co/C4kDFxJC4U,"Sentiment(polarity=0.0, subjectivity=0.0)"
45,ThomasEBrown3, Trump questions how Fauci has a high approval rating 'but nobody likes me' https://t.co/GIVwvwNfSq,"Sentiment(polarity=0.16, subjectivity=0.54)"
46,BeKindOkk, https://t.co/i8xVGyuLjw,"Sentiment(polarity=0.0, subjectivity=0.0)"
47,lilhamberders," Dr. Redfern, thank you for your Service. Your resegnation is ekspected on the Risolute Desk by 5 P… https://t.co/VjJK1dKPmO","Sentiment(polarity=0.0, subjectivity=0.0)"
48,STPFreak, You are a legend in your own mind,"Sentiment(polarity=0.6, subjectivity=1.0)"
49,Crystal63869746, Swing Left The FDA warns that hydroxychloroquine showed no benefit in treating COVID-19 and could… https://t.co/9e7s5DdKFA,"Sentiment(polarity=0.0, subjectivity=0.0)"
50,mattv68, Thank you for fighting for the American people! We are grateful. ????????,"Sentiment(polarity=0.0, subjectivity=0.0)"
51,TheGodd69623245, @TheRISEofROD Great job! Isn't the CDC really a vaccine company?,"Sentiment(polarity=0.6, subjectivity=0.475)"
52,percypierpont," This says it all, I think. Happy day. https://t.co/mRFgl1bdrS","Sentiment(polarity=0.8, subjectivity=1.0)"
53,robpadilla1983, Pills yea give more vicaden opis the whole world will rejoice on how you failed.... Covid or pills hmm let me see.,"Sentiment(polarity=0.06666666666666665, subjectivity=0.39999999999999997)"
54,Bern32110247," Trump, what should we make of your absurd tweets concerning the virus, race relations and the econ… https://t.co/2MeJYGWp8B","Sentiment(polarity=-0.5, subjectivity=1.0)"
55,Mike98571382," Well aren't you the hypocrite.  Those ""nasty"" ads about Joe Biden and how there will be no police… https://t.co/4ojxxPIWBj","Sentiment(polarity=-1.0, subjectivity=1.0)"
56,HoraceRussell7," The last time you said prescription prices were going down, all of my prescriptions went up.","Sentiment(polarity=-0.07777777777777778, subjectivity=0.17777777777777778)"
57,NoeMald28664019, UR AN IDIOT!!!,"Sentiment(polarity=-1.0, subjectivity=0.8)"
58,CaleTheLion5363," If you have to explain yourself every time something new comes out about you, you really shouldn't have been president.","Sentiment(polarity=0.16818181818181818, subjectivity=0.32727272727272727)"
59,GoekenLeann, Thank you!!! I love what you're doing for us Americans. I've been wanting a leader like you since… https://t.co/2Z62sxdJks,"Sentiment(polarity=0.5, subjectivity=0.6)"
60,Mannix512, https://t.co/f2kHTLtSZs,"Sentiment(polarity=0.0, subjectivity=0.0)"
61,SusBoz108, https://t.co/3A8wj4FL4C    @MSNBC @CNN @LindseyGrahamSC @GOPLeader,"Sentiment(polarity=0.0, subjectivity=0.0)"
62,Crystal63869746," The Democrats Trump’s still downplaying the threat, ignoring public health experts, and spreading… https://t.co/Uu3yjZQff2","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)"
63,DavidVorland, The elderly liar in chief’s dementia is acting up again,"Sentiment(polarity=0.0, subjectivity=0.0)"
64,MoeQuarantined," How much Kodak stock do you own, #GrifterInChief ?","Sentiment(polarity=0.4, subjectivity=0.6)"
65,gainunits, You are the expert in lying to the public,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)"
66,DianeRhodes5, No..you are trying to sell beans..which you are not supposed to be doing in the presidency..you we… https://t.co/Mc1PlwA553,"Sentiment(polarity=0.0, subjectivity=0.0)"
67,percypierpont," The Indigenous peoples of the world have ""SEVEN GRANDFATHERS"" which guide their spirituality and c… https://t.co/7ETng6Lbch","Sentiment(polarity=0.0, subjectivity=0.0)"
68,GrizzlyMa05, Trump signs executive orders aimed at lowering drug prices in largely symbolic move  Trump Opens D… https://t.co/C4AbREyVZn,"Sentiment(polarity=0.21428571428571427, subjectivity=0.42857142857142855)"
69,lesliegwyn," You’re right!  No other president has been able to produce as much lying, death, sickness, sufferi… https://t.co/TZJhlUoMfQ","Sentiment(polarity=0.2799107142857143, subjectivity=0.4339285714285714)"
70,ActiveWaiting, ---------------------97--------------------,"Sentiment(polarity=0.0, subjectivity=0.0)"
71,PapipitP," Yeah, we'll see...  ""The orders are not immediately enforceable. Health officials have been workin… https://t.co/RmhUsnv6zI","Sentiment(polarity=0.0, subjectivity=0.0)"
72,LilRedHead8, You think so much of yourself.,"Sentiment(polarity=0.2, subjectivity=0.2)"
73,pugsymalone3, You're FAKE,"Sentiment(polarity=-0.5, subjectivity=1.0)"
74,pugsymalone3, You've DESTROYED the medical system.  Drs are afraid to write scripts because of Republicans. Oste… https://t.co/VnYHhBC0td,"Sentiment(polarity=-0.3, subjectivity=0.45)"
75,AzDesertFoxx, You'll never get any thanks from the left.,"Sentiment(polarity=0.1, subjectivity=0.1)"
76,Disgrun82454138, https://t.co/PrawLqlY5s,"Sentiment(polarity=0.0, subjectivity=0.0)"
77,DavidJurco, ?? ALERT ?? ALERT ?? ALERT ?? FAKE NEWS FAKENEWS FAKE NEWS FAKENEWS FAKE NEWS FAKENEWS FAKE NEWS FAKE… https://t.co/8iK4CAEuLl,"Sentiment(polarity=-0.5, subjectivity=1.0)"
78,abarton444," Trump, you're a known liar and cannot be trusted.","Sentiment(polarity=0.0, subjectivity=0.0)"
79,MC_Mathews716," Yeah, no other president has produced what you produce; worldwide plagues, Nationwide racial unres… https://t.co/qnQ4favtJ8","Sentiment(polarity=0.0625, subjectivity=0.375)"
80,ArchnaJohnson, What happened to capitalism and free markets? Don't believe in it any more?  Getting PRICE REDUCTI… https://t.co/qTYW6KuhtG,"Sentiment(polarity=0.45, subjectivity=0.65)"
81,woodougring, Meanwhile I'm giving $736 million to a multi bankrupted behind times camera company to make pharma… https://t.co/fZ7sfWNyyj,"Sentiment(polarity=-0.4, subjectivity=0.7)"
82,zcobb," Rubbish mate, you're talking rubbish. https://t.co/2DDsFi7WUT","Sentiment(polarity=0.0, subjectivity=0.0)"
83,LaneyJoBee, Liar!!!! They went up!,"Sentiment(polarity=0.0, subjectivity=0.0)"
84,rosati_joanne," @foxandfriends Because, you need everything spelled out to you. He doesn’t think ANTIFA is a myth.… https://t.co/nq2oNxpbvo","Sentiment(polarity=0.0, subjectivity=0.0)"
85,DavidWMooney1, Big Pharma price-gouge American consumers so that they can spend billions of $$s on advertising th… https://t.co/cMHpl2nMtT,"Sentiment(polarity=0.0, subjectivity=0.05)"
86,bdlutherjr_d, Liar!,"Sentiment(polarity=0.0, subjectivity=0.0)"
87,madu_lamar, Good job.....,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
88,proud_v2, https://t.co/pKiwzaSymr,"Sentiment(polarity=0.0, subjectivity=0.0)"
89,FredAllIN1, Is that way you canceled the executive order? Not that an executive order is even an affect method… https://t.co/kEOL2t1prY,"Sentiment(polarity=0.0, subjectivity=0.0)"
90,Albithefirst," A answer, why nobody likes you:  https://t.co/540xCenPhS","Sentiment(polarity=0.0, subjectivity=0.0)"
91,nelsonr1978, Fauci ??????.                                        https://t.co/28GUHvZe9p,"Sentiment(polarity=0.0, subjectivity=0.0)"
92,tonyandolivia, TRUMP 2020!!!,"Sentiment(polarity=0.0, subjectivity=0.0)"
93,muyi888," Biden and Obama are rubbish, Trump is the best","Sentiment(polarity=1.0, subjectivity=0.3)"
94,ThibodauxLeslie, Still lying your sorry ass off as always.,"Sentiment(polarity=-0.5, subjectivity=1.0)"
95,Alison01670004, Shut up gramps—someone take his car keys!,"Sentiment(polarity=0.0, subjectivity=0.0)"
96,PamelaLillybla1, We want HCQ#Don’t worry do the right thng.,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
97,mlou1939, lies,"Sentiment(polarity=0.0, subjectivity=0.0)"
98,vicsepulveda, https://t.co/yq4RNilxTF,"Sentiment(polarity=0.0, subjectivity=0.0)"
99,mgn53, You've done nothing that doesn't benefit you in some corrupt manner. RESIGN.,"Sentiment(polarity=-0.5, subjectivity=1.0)"
100,USATrump4eva, Thank you President Trump for all you are doing to help the American people. First President in hi… https://t.co/MndKc1gtJB,"Sentiment(polarity=0.125, subjectivity=0.16666666666666666)"
101,SamONeillSA, ?? https://t.co/GtGn1TdjGn,"Sentiment(polarity=0.0, subjectivity=0.0)"
102,Cameron13107534, Waaaaaaaaaaaaaaaaaaaaa,"Sentiment(polarity=0.0, subjectivity=0.0)"
103,mitch_kremer,  ONLY 1 USA ???? OWNED PLASMA COMPANY!! PLASMA IS A CRITICAL THERAPY TO COMBAT THE C… https://t.co/vqGYwYiodT,"Sentiment(polarity=0.0, subjectivity=0.9)"
104,Shari4everFree, I think of big pharma as legal drug dealers/cartels. Drug pushers..... and your first one is free!… https://t.co/qa4NkUZITP,"Sentiment(polarity=0.15, subjectivity=0.2111111111111111)"
105,GeneSte85125202," Too little, too late!","Sentiment(polarity=-0.28125, subjectivity=0.55)"
106,Gustavo35448328, The economy with you has not progresed on your time in the presidecie. you ask for money frome you… https://t.co/8n0wp5Dppw,"Sentiment(polarity=0.0, subjectivity=0.0)"
107,JAS16AZ, How come you’re so unpopular even though you brag about your so called accomplishments ALL the time?,"Sentiment(polarity=0.0, subjectivity=0.0)"
108,wallflower2323, so show us proof that they will quadruple ... or are you just blowing steam out your ass again...… https://t.co/D9Uq0HQ0RD,"Sentiment(polarity=0.0, subjectivity=0.0)"
109,michaelsb," You said Mexico would pay for the wall, but they never did. You had to steal money from our military to do it.","Sentiment(polarity=-0.1, subjectivity=0.1)"
110,ocelotsanctus, Liar,"Sentiment(polarity=0.0, subjectivity=0.0)"
111,SlimmerYet," #Resist #TheResistance #1TermTrumpThenDump  Nice work! We are leaders, of the worst kind. Loosing… https://t.co/bJiPoAN3Ri","Sentiment(polarity=0.11666666666666665, subjectivity=0.9666666666666667)"
112,ToniL09862806, Drain that swamp Mr. President! Thank you for all you've done for our country and continue to do!… https://t.co/L8v1BLGfj6,"Sentiment(polarity=0.0, subjectivity=0.0)"
113,ThezeDazeGuy, America needs a strong President that isn't on his knees blowing Putin or Kim Jong.,"Sentiment(polarity=0.43333333333333335, subjectivity=0.7333333333333334)"
114,ellfling," Figured this one out yesterday. Big pharma must hate you, but this helps the people start to get it.","Sentiment(polarity=-0.4, subjectivity=0.5)"
115,Hotmessholla," Vulgar man, small hands. Not an inch of heart.","Sentiment(polarity=-0.475, subjectivity=0.6000000000000001)"
116,Bb19765, https://t.co/3AJFNsftJm,"Sentiment(polarity=0.0, subjectivity=0.0)"
117,tdv334," YOU are going to bring the pharmaceuticals to their knees? How? You couldn't even run a casino, wh… https://t.co/fYrNi5sLPq","Sentiment(polarity=0.0, subjectivity=0.0)"
118,michaeljameswx," Oh really?  I haven't seen anything lowered. Except the general state of our country, thanks to you. #GoodbyeTrumpler","Sentiment(polarity=0.15, subjectivity=0.3)"
119,EColdshot," Pharmaceutical companies should have been stopped a long time ago. Actually every corporation, big… https://t.co/Bx1cdMMg74","Sentiment(polarity=-0.025, subjectivity=0.25)"
120,jbenton46862394, Keep lying. We all love it when you lie because it’s burying you! #TrumpIsACrybaby  #AmericaOrTrump,"Sentiment(polarity=0.625, subjectivity=0.6)"
121,CottoDcottoesq, https://t.co/9lB177MqRK,"Sentiment(polarity=0.0, subjectivity=0.0)"
122,MarianneZirkle," Failed businesses. 6 bankruptcies.  Keep your ""huge brain"" out of this.  The American people cannot afford your help.","Sentiment(polarity=-0.03333333333333335, subjectivity=0.39999999999999997)"
123,RandPitt, https://t.co/kgoVSKjEYG,"Sentiment(polarity=0.0, subjectivity=0.0)"
124,debimcq_debi," Keep it coming, Mr. President! ????#MAGA","Sentiment(polarity=0.0, subjectivity=0.0)"
125,LitaTweets, Donnie dolittle tweets what about the pharma companies he needs to help stop the world's people from dying?,"Sentiment(polarity=0.0, subjectivity=0.0)"
126,marieanne1983, Putin's Puppet!,"Sentiment(polarity=0.0, subjectivity=0.0)"
127,AngelHeart5609, Zzzzzzzzzzzzzzzzzzzzzzzzzzzzz.............................. still nothing on the soldiers killed b… https://t.co/eUZXvqfF93,"Sentiment(polarity=-0.2, subjectivity=0.0)"
128,TiredOfOrangeM1, Hmmm. Why do I not believe you?   #FU45 #YouAREtheSwamp #LiarInChief https://t.co/xvHBfIJvve,"Sentiment(polarity=0.0, subjectivity=0.0)"
129,laughalittle13, Person Woman Man Camera TV. You get extra points for getting it on that order.,"Sentiment(polarity=0.0, subjectivity=0.1)"
130,EricaC1970," No, they’re spending millions of dollars in advertising against you because you’re incompetent and nobody likes you.","Sentiment(polarity=-0.35, subjectivity=0.3666666666666667)"
131,Iam7140," Guess what, anybody against you you can revoke their right to do business in the United States of… https://t.co/UhSGwCvOds","Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
132,hes153ter, Why would they?  They tweet against you because of your #lying #racism #bullying #ignorance… https://t.co/VY03LLwtyh,"Sentiment(polarity=0.0, subjectivity=0.0)"
133,MswWagner, Yet you still haven't done anything,"Sentiment(polarity=0.0, subjectivity=0.0)"
134,BrokenSpacehog, Or maybe it's the snake oil that Guiliani said was a great drug.  Thank God we are not hearing from him anymore.,"Sentiment(polarity=0.8, subjectivity=0.75)"
135,BradBunburi, ?? you’re so fucked,"Sentiment(polarity=-0.6, subjectivity=0.7)"
136,cents5818, https://t.co/lFFPxzLPS7,"Sentiment(polarity=0.0, subjectivity=0.0)"
137,nabookire, Trump’s buying votes again!,"Sentiment(polarity=0.0, subjectivity=0.0)"
138,forrestbrakeman, You've promised this multiple times and have yet to deliver.  But you have given the green light t… https://t.co/v2Vg8NzpiE,"Sentiment(polarity=0.06666666666666667, subjectivity=0.3333333333333333)"
139,CDB113, You are a traitor to this country. You  lie daily.  You side with dictators over our allies and ev… https://t.co/o0fZtb5Jfc,"Sentiment(polarity=0.0, subjectivity=0.0)"
140,Granger01Jus," Lies, lies, lies!","Sentiment(polarity=0.0, subjectivity=0.0)"
141,no_silenced, Obama gave African Americans free Cell phones  He did do something i guess?????,"Sentiment(polarity=0.2, subjectivity=0.4)"
142,FSgrammie, Wow! Guess they don’t like you either. Maybe you should make a trip to a Wamart in Alabama to fins some love,"Sentiment(polarity=0.3125, subjectivity=0.8)"
143,markcnyc, More fake news from the king of fake news. https://t.co/TixCgHvNTA,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.8333333333333334)"
144,xsentrik, https://t.co/LCmkAHfG4z,"Sentiment(polarity=0.0, subjectivity=0.0)"
145,Jose43435584, We know https://t.co/TVJ3NV88yh,"Sentiment(polarity=0.0, subjectivity=0.0)"
146,MissyWard, https://t.co/JNDulG43kT,"Sentiment(polarity=0.0, subjectivity=0.0)"
147,IAmNotAGiraffeK," If you’re really lowering drug prices, I’m gonna need more than a tweet for proof.","Sentiment(polarity=0.35, subjectivity=0.35)"
148,AndreaSseebold1, Massively ?????????,"Sentiment(polarity=0.0, subjectivity=1.0)"
149,timblobar, Have seen no such thing. You sure this isn’t something your minions are making up to placate you over your polling numbers?,"Sentiment(polarity=0.25, subjectivity=0.6944444444444444)"
150,TruthTe32831136, @PrayerHarbor ??,"Sentiment(polarity=0.0, subjectivity=0.0)"
151,rajan1925, #Rafale https://t.co/FXSO2t50Xa,"Sentiment(polarity=0.0, subjectivity=0.0)"
152,universaIfriend, https://t.co/rp1Z3JtDzV,"Sentiment(polarity=0.0, subjectivity=0.0)"
153,Alex891970, Keep crying tiny hands,"Sentiment(polarity=-0.1, subjectivity=0.55)"
154,swerved33, How much rent do they pay to live in your head ?,"Sentiment(polarity=0.16818181818181818, subjectivity=0.35)"
155,CPresser_2, Empty powerless EO. Just like Obama EO after EO after EO.,"Sentiment(polarity=-0.3, subjectivity=0.7)"
156,TiffanyBarbera9, https://t.co/QlalRyHYlK,"Sentiment(polarity=0.0, subjectivity=0.0)"
157,sunnfun_JR, #HCQWorksFauciKnewIn2005,"Sentiment(polarity=0.0, subjectivity=0.0)"
158,resist_for_us, It's amazing how much you lie when simple fact checks constantly show you as lying.  You truly are… https://t.co/So1d02OQB9,"Sentiment(polarity=0.2, subjectivity=0.44761904761904764)"
159,BrokenSpiritNMB," Lies, lies, lies, fact free bullsh*t, absurd fabrications and contempt for the American people.","Sentiment(polarity=-0.033333333333333326, subjectivity=0.6)"
160,dunecat1, gfy,"Sentiment(polarity=0.0, subjectivity=0.0)"
161,laura_seno58, #RacistInChief  #ResignImagineYourRatings,"Sentiment(polarity=0.0, subjectivity=0.0)"
162,rockaro17, https://t.co/kmoSJOjzl4,"Sentiment(polarity=0.0, subjectivity=0.0)"
163,6f6902576a8c415, https://t.co/fqLCNkDvfC,"Sentiment(polarity=0.0, subjectivity=0.0)"
164,sammi25d, Playing to your base much?,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.6)"
165,BillTzamaras," Diversity is good for all people, Clownie!","Sentiment(polarity=0.875, subjectivity=0.6000000000000001)"
166,Dr_Dusty, ??????,"Sentiment(polarity=0.0, subjectivity=0.0)"
167,Trenzalore2020, ALIEN DNA!!!!,"Sentiment(polarity=-0.6103515625, subjectivity=0.75)"
168,caring30303501, Won’t work you are gone in Nov,"Sentiment(polarity=0.0, subjectivity=0.0)"
169,BecuJeanne, Because the last thing the middle class wants is affordable housing. JFC.,"Sentiment(polarity=0.06666666666666667, subjectivity=0.05555555555555556)"
170,MikeFlannigan59," Your campaign slogan ought to be, ""An AR-15 in every pair of white suburban hands."" https://t.co/5AkxwxUa9t","Sentiment(polarity=0.0, subjectivity=0.0)"
171,freedomringsUSA, @SharonGBlack Wonderful news. Aurora CO is run by a bunch of liberals as is CO itself. Right now t… https://t.co/4NaUNdc7kK,"Sentiment(polarity=0.6428571428571428, subjectivity=0.7678571428571428)"
172,AlfonsoFreeman, Phuq-cue you hateful monster.,"Sentiment(polarity=0.0, subjectivity=0.0)"
173,facemanjon, The racism is palpable with this one,"Sentiment(polarity=0.0, subjectivity=0.5)"
174,elliotjwalsh, What’s wrong with you,"Sentiment(polarity=-0.5, subjectivity=0.9)"
175,JoSwedishMamma," This is disgusting, shame on you!","Sentiment(polarity=-1.0, subjectivity=1.0)"
176,EdgeofSports, The only benefit of tweets like this is that they can and should be used in the future to make sur… https://t.co/zzcr6fqaIx,"Sentiment(polarity=0.0, subjectivity=0.5625)"
177,bfs465," Let me inform you, Donald, that this is an incredibly pathetic and wholly racist tweet. Do you ever think? At all?","Sentiment(polarity=-1.0, subjectivity=1.0)"
178,RobertK53800598, So that equal housing commission fine taught you nothing. Hey @SenatorCollins still think he’s cap… https://t.co/NMoJaBtJWf,"Sentiment(polarity=0.20833333333333334, subjectivity=0.375)"
179,denisewu," Beating up moms, dads, vets, nurses, and kids only piss more suburban people off","Sentiment(polarity=0.16666666666666666, subjectivity=0.5)"
180,DValeyard, This is sooooo fucking racist,"Sentiment(polarity=-0.6, subjectivity=0.8)"
181,BiancaBick1, Racist,"Sentiment(polarity=0.0, subjectivity=0.0)"
182,Robert78583710, Just as long as you don’t move in.,"Sentiment(polarity=-0.05, subjectivity=0.4)"
183,JohnBra63775398," I'm Poor, but do plan to send you postage money order, I don't trust when people ask for money on… https://t.co/9jZ5CoeheY","Sentiment(polarity=-0.4, subjectivity=0.6)"
184,hvnsntme2you, Why should I by a $350K house and pay high property taxes just so a low income complex can come in… https://t.co/kludlNSw7D,"Sentiment(polarity=-0.04666666666666666, subjectivity=0.4133333333333334)"
185,wesleyarts, Thank you!,"Sentiment(polarity=0.0, subjectivity=0.0)"
186,SecordKayla, Wow just wow,"Sentiment(polarity=0.1, subjectivity=1.0)"
187,ellaphantb00bs, do you hate poor people,"Sentiment(polarity=-0.6000000000000001, subjectivity=0.75)"
188,Rises111," I welcome everyone to my suburban neighborhood. You are so out of touch with reality. Please, get… https://t.co/jJD7v0y9bG","Sentiment(polarity=0.4, subjectivity=0.45)"
189,BarryJamesT," Fixed it for you: ""I am happy to inform all of the white people living their Suburban Lifestyle Dr… https://t.co/jf0cQwoh8Z","Sentiment(polarity=0.225, subjectivity=0.3)"
190,speechadvice, Exactly what Jesus would have done! Way to #MAGA #BigotinChief https://t.co/gXXUcqIXsp,"Sentiment(polarity=0.3125, subjectivity=0.25)"
191,Maura_BV, Just like Dear Old Dad!,"Sentiment(polarity=0.125, subjectivity=0.2)"
192,p2wy, This is racist af.,"Sentiment(polarity=0.0, subjectivity=0.0)"
193,miagl11," It’s not 1950, you old racist","Sentiment(polarity=0.1, subjectivity=0.2)"
194,BobbiPitz, R A (  ) I S T  !  Choose C  or P to fill in. Either applies.,"Sentiment(polarity=0.0, subjectivity=0.0)"
195,PoolGlitter, Racist much?? #RacistInChief,"Sentiment(polarity=0.2, subjectivity=0.2)"
196,michaelshess, Wow. Save us all the trouble of reading these tweets. Just send out one more tweet that confirms i… https://t.co/skieaJE17K,"Sentiment(polarity=0.13333333333333333, subjectivity=0.5666666666666667)"
197,JohnBar86608216, I’d rather have a low income family next to me than you &amp; your crime famliy. If you moved in next… https://t.co/rj8ossAy1Q,"Sentiment(polarity=0.0, subjectivity=0.15)"
198,JoshuaSmitt, https://t.co/11eULzd2eY,"Sentiment(polarity=0.0, subjectivity=0.0)"
199,hankgray2454," Wow, how racist can you get!","Sentiment(polarity=0.125, subjectivity=1.0)"
200,themacartist, #TrumpGestapo   #TrumpVirus  #TrumpGestapo   #TrumpVirus  #TrumpGestapo   #TrumpVirus… https://t.co/AmC3kqIm1x,"Sentiment(polarity=0.0, subjectivity=0.0)"
201,AaronSpade, How much can you suck?,"Sentiment(polarity=0.2, subjectivity=0.2)"
202,JewishConnectiv, @DonaldJTrumpRe Good. Looking forward to the diversity,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
203,alexxosborn, Use your great reading skills to learn how you're promoting de jure racism. https://t.co/Iv6LnkvexM,"Sentiment(polarity=0.8, subjectivity=0.75)"
