,user,text,polarity
24,metzgerl,@JoeBiden Are you a liar or ignorant? There is a difference between absentee ballots and mail in voting. You know a… https://t.co/Ne2Q4V5PDR,"Sentiment(polarity=0.0, subjectivity=0.0)"
25,Zen_Trixie,@JoeBiden Our troops vote by mail. We should be able to as well.,"Sentiment(polarity=0.5, subjectivity=0.625)"
26,JDebarre,@JoeBiden Absolutely,"Sentiment(polarity=0.2, subjectivity=0.9)"
27,pookeypies7,@JoeBiden It wasn't the same ballots and you know it Stop it,"Sentiment(polarity=0.0, subjectivity=0.125)"
28,BackinTheBlu,@JoeBiden Absentee voting and blanket balloting are different things. You know it. We know it. Everyone knows it.… https://t.co/6Kk2WY25sL,"Sentiment(polarity=0.0, subjectivity=0.6)"
29,sadiesm20755403,@JoeBiden Correct,"Sentiment(polarity=0.0, subjectivity=0.0)"
30,larkwick,@JoeBiden Option of absentee = choice. All mail ballots = force of gov... see the diff?,"Sentiment(polarity=0.0, subjectivity=0.0)"
31,mathewrexy,@JoeBiden Donald Trump Built The Wall. U Should Too!,"Sentiment(polarity=0.0, subjectivity=0.0)"
32,ArronSummey,@JoeBiden https://t.co/HAIFKLYd61,"Sentiment(polarity=0.0, subjectivity=0.0)"
33,Mike53146436,"@JoeBiden It's objectively easier to tamper with mail in votes, and politicians have already been involved in fraud… https://t.co/WwOfTV3z2g","Sentiment(polarity=0.0, subjectivity=0.1)"
34,LacosteOliver,@JoeBiden We can’t trust you or the Democrats!,"Sentiment(polarity=0.0, subjectivity=0.0)"
35,Lorabytheshore1,@JoeBiden https://t.co/raB2r01V34,"Sentiment(polarity=0.0, subjectivity=0.0)"
36,TousekE,@JoeBiden 👀 Widespread mail in ballots are a Russian dream!! Just imagine the Russians flooding voting districts wi… https://t.co/eHw35LeFRO,"Sentiment(polarity=0.0, subjectivity=0.0)"
37,Wayne36875880,"@JoeBiden Um, Joe? Absentee balloting more often than not, gets overlooked when being counted, which leads to under… https://t.co/3cAEEFrXPt","Sentiment(polarity=0.5, subjectivity=0.5)"
38,fife8169,@JoeBiden Must show I’d or proof of citizenship.,"Sentiment(polarity=0.0, subjectivity=0.0)"
39,RealLastBestHo1,@JoeBiden Donald Trump doesn't pay taxes.  You shouldn't too.,"Sentiment(polarity=0.0, subjectivity=0.0)"
40,JudybellesLife,@JoeBiden So did a dead cat.,"Sentiment(polarity=-0.2, subjectivity=0.4)"
41,noneofyourbyz,@JoeBiden Totally different.. He voted absentee.,"Sentiment(polarity=0.0, subjectivity=0.6)"
42,mloar29,@JoeBiden I am. For you!,"Sentiment(polarity=0.0, subjectivity=0.0)"
43,ChadStJohn8,@JoeBiden https://t.co/CAGzqi5uG2    Ask Jerry Nadler about mail in@voting Joe,"Sentiment(polarity=0.0, subjectivity=0.0)"
44,TyroneW79180291,@JoeBiden THATS ABSOLUTELY CORRECT.,"Sentiment(polarity=0.2, subjectivity=0.9)"
45,WReginald69,@JoeBiden You must think their is an advantage for you to be pushing this vote from home agenda so hard... don’t pr… https://t.co/U4oaeoTGeK,"Sentiment(polarity=-0.2916666666666667, subjectivity=0.5416666666666666)"
46,miconmike,@JoeBiden pretty sure absentee voting is allowed in all 50 states.  the process already exists and is blessed by al… https://t.co/waWE7XXIgJ,"Sentiment(polarity=0.375, subjectivity=0.9444444444444444)"
47,brooktL,@JoeBiden My dog didn't receive one in the mail yet. Can you rectify this please.,"Sentiment(polarity=0.0, subjectivity=0.0)"
48,charty3026,"@JoeBiden If your on the side of right, why all the sneaky tricks? https://t.co/KqxgGWqjJK https://t.co/LYAjf8DxUc","Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
49,RestorationHiFi,@JoeBiden Would like to add: https://t.co/GNTaT8EClx,"Sentiment(polarity=0.0, subjectivity=0.0)"
50,Koolman35090573,@JoeBiden Yes and iam vote for u,"Sentiment(polarity=0.0, subjectivity=0.0)"
51,Appeal2DaStone,@JoeBiden Absentee*,"Sentiment(polarity=0.0, subjectivity=0.0)"
52,MattMichiel19,@JoeBiden no he didn’t,"Sentiment(polarity=0.0, subjectivity=0.0)"
53,themicrokid,@JoeBiden Vote by mail should only be used as part of absentee mail process. Not as proposed by Democrats where the… https://t.co/bZ849u2Nu3,"Sentiment(polarity=0.0, subjectivity=1.0)"
54,cass_audry,@JoeBiden I understand you don't quite have all your facilities Joe; but voting by absentee ballot and voting by ma… https://t.co/pS09V1rmU9,"Sentiment(polarity=0.0, subjectivity=0.0)"
55,stealth_mann,"@JoeBiden The President has private security and so do you soo, where's mine?","Sentiment(polarity=0.0, subjectivity=0.375)"
56,RestorationHiFi,@JoeBiden @JoeBiden trying to RIG the election because he cannot win otherwise.  Get your facts straight as well...… https://t.co/cf9nr9DUOn,"Sentiment(polarity=0.5, subjectivity=0.4)"
57,jennifermaga12,@JoeBiden Donald Trump is President and King. You will never be President cc @realDonaldTrump #maga,"Sentiment(polarity=0.0, subjectivity=0.0)"
58,Jesmilia,@JoeBiden Not true liar!,"Sentiment(polarity=-0.21875, subjectivity=0.65)"
59,sagarp77777,@JoeBiden There's already evm issues in India be careful,"Sentiment(polarity=-0.1, subjectivity=1.0)"
60,theAmerican1780,@JoeBiden https://t.co/JHxpiOzYDM,"Sentiment(polarity=0.0, subjectivity=0.0)"
61,jonezy2dope,"@JoeBiden Hey y’all, we can both vote Trump out and not elect Biden at the same time. #MojoJoJo.","Sentiment(polarity=-0.2, subjectivity=0.5125)"
62,jlbabnatl,"@JoeBiden Yes, yes @POTUS did, he was indisposed elsewhere conducting business instead of sitting in front of the t… https://t.co/1x3QS2Mrpx","Sentiment(polarity=0.0, subjectivity=0.0)"
63,ljucht,"@JoeBiden An absentee ballot, which dates back to the Civil War era, is NOT the same as “mail in voting”.  Common s… https://t.co/rmog5l3iHH","Sentiment(polarity=-0.09999999999999999, subjectivity=0.20833333333333334)"
64,VandyDal,@JoeBiden Trump isn't the problem. It's those who handle the ballots. https://t.co/735ZskcgAq,"Sentiment(polarity=0.0, subjectivity=0.0)"
65,pownder99,@JoeBiden Donald Trump spoke to Chris Wallace for an hour. You should be able to as well.,"Sentiment(polarity=0.5, subjectivity=0.625)"
66,Bobby92276752,@JoeBiden Exactly,"Sentiment(polarity=0.25, subjectivity=0.25)"
67,jimdecourcy,@JoeBiden No he didn't. He voted via absentee ballot. Big difference. You would think that a former Vice President would lnow that.,"Sentiment(polarity=0.0, subjectivity=0.05)"
68,HoneyJ30292314,@JoeBiden Absentee Ballot u #Moron !,"Sentiment(polarity=-1.0, subjectivity=1.0)"
69,MarkSMundyUSA,@JoeBiden Collapsed distinctions again,"Sentiment(polarity=0.0, subjectivity=0.0)"
70,PainFreeLove,@JoeBiden We had best protect the #USPS from the hands of #evil.   #Trumpism is a #cancer that must be scraped out… https://t.co/290yPJjeWr,"Sentiment(polarity=0.0, subjectivity=0.65)"
71,LewisBrandon239,@JoeBiden Then why is there video of him voting in person in NYC in ‘16?,"Sentiment(polarity=0.0, subjectivity=0.0)"
72,Lolsonrealtor,@JoeBiden Don’t be fooled by this. There is a difference between mail in voting and absentee voting. Mail in voting… https://t.co/BPgRc5Lh1s,"Sentiment(polarity=0.0, subjectivity=0.0)"
73,yana_yudich,@JoeBiden Who’s the damn joker posting this on his twitter? You know Joe can’t think that well by himself..,"Sentiment(polarity=0.0, subjectivity=0.0)"
74,elvincan2,"@JoeBiden Vote by mail is not the same as Absentee or accommodation voting. How would you stop CCP, Russia etc from sending in votes?","Sentiment(polarity=0.0, subjectivity=0.125)"
75,Complete_Dallas,@JoeBiden I am ok with voting by mail if accompanied by a photo copy of your state ID or DL. Maybe a photo copy of… https://t.co/LAe70msMxt,"Sentiment(polarity=0.5, subjectivity=0.5)"
76,ddk1,@JoeBiden LIAR https://t.co/tcHnGtaAhe,"Sentiment(polarity=0.0, subjectivity=0.0)"
77,PhillyRepub1,"@JoeBiden @Twitter fluffing numbers again and interfering in an election. The corrupt, vicious, dirty Democrats can… https://t.co/MfiGX3V4SD","Sentiment(polarity=-0.7000000000000001, subjectivity=0.9333333333333332)"
78,Erunner110,@JoeBiden You are dishonest as all get out!  Everyone can do what Trump did IF they qualify. Stop the gas lighting… https://t.co/q1dc0XkMPX,"Sentiment(polarity=-0.375, subjectivity=0.5)"
79,HeyLady1776,@JoeBiden It seems the Democrats are the one doing the majority of “voter fraud.” 🤨🤨🤨https://t.co/lPWs5Uta4m,"Sentiment(polarity=0.0, subjectivity=0.0)"
80,J_K_Oh,@JoeBiden Big difference between an absentee ballot and leftist version of vote by mail,"Sentiment(polarity=-0.025, subjectivity=0.35)"
81,gjrissky,"@JoeBiden It's called an ""absentee ballot."" Requires proof of citizenship. Used it many times while I was deployed… https://t.co/xZxyDgqeEG","Sentiment(polarity=0.5, subjectivity=0.5)"
82,RobertNardone06,@JoeBiden https://t.co/TxjGDUUVzn,"Sentiment(polarity=0.0, subjectivity=0.0)"
83,TexasBr64310863,@JoeBiden Stop trying to increase Obama’s wealth and power.,"Sentiment(polarity=0.0, subjectivity=0.0)"
84,thedemureshark,@JoeBiden Nope. I’m voting for Trump in person.,"Sentiment(polarity=0.0, subjectivity=0.0)"
85,Tammihazard2,@JoeBiden No you democrats are pushing that so you can cheat,"Sentiment(polarity=0.0, subjectivity=0.0)"
86,MLB37167,@JoeBiden We got a taste of what life would be like under Dem control while watching the #BarrHearing.  All did Ds… https://t.co/fJ9pLenLxE,"Sentiment(polarity=0.0, subjectivity=0.0)"
87,ebw1957,@JoeBiden addle brain...,"Sentiment(polarity=0.0, subjectivity=0.0)"
88,TexasBr64310863,@JoeBiden No we shouldn’t. That is the most proven corrupt way to vote.,"Sentiment(polarity=0.0, subjectivity=0.75)"
89,SteelRaptor,"@JoeBiden Local and state corruption is one thing, vote-in corruption on the national level cannot be tolerated...","Sentiment(polarity=0.0, subjectivity=0.0)"
90,maurice_dichard,@JoeBiden Absentee ballots are ok. There’s a process to obtain one. You have to show up at your local city hall to… https://t.co/wri4lMBNv9,"Sentiment(polarity=0.25, subjectivity=0.25)"
91,Corndiggity,"@JoeBiden Those choosing to vote absentee should do so, just like any other election. However they should go throug… https://t.co/ATUFCiW9L8","Sentiment(polarity=-0.125, subjectivity=0.375)"
92,DennisBess11,"@JoeBiden I live in ca have been voting by mail for years, Democrats always win.","Sentiment(polarity=0.4681818181818182, subjectivity=0.45)"
93,TammyTsai365,@JoeBiden Absentee. You give 1/2 the truth. Completely different process and you know it.,"Sentiment(polarity=0.0, subjectivity=0.6)"
94,Boxer751,@JoeBiden 👇👇👇👇👇 https://t.co/20TZGMq9yR,"Sentiment(polarity=0.0, subjectivity=0.0)"
95,joelhthornton,"@JoeBiden We all can, under special circumstances as provided by state law! Your writers are not too bright.","Sentiment(polarity=0.5732142857142858, subjectivity=0.6857142857142857)"
96,fishhunt247365,@JoeBiden Suckers,"Sentiment(polarity=-0.3, subjectivity=0.8)"
97,Kadanial1,@JoeBiden He voted absentee because he was ABSENT. People who are voting by mail who are perfectly capable of going… https://t.co/kcGTXNct6k,"Sentiment(polarity=0.2, subjectivity=0.4)"
98,Boxer751,"@JoeBiden Debate President Trump,  Debate President Trump,  Debate President Trump, Debate President Trump!!!!!!!","Sentiment(polarity=0.0, subjectivity=0.0)"
99,mtbiker6975,@JoeBiden False Get your shit straight,"Sentiment(polarity=-0.13333333333333336, subjectivity=0.6)"
100,authentically45,"@JoeBiden On November 3rd, Democrats are going to set post offices on fire. Democrats know Joe will lose the election. #Trump2020Landslide","Sentiment(polarity=0.0, subjectivity=0.0)"
101,Count_Rollins,@JoeBiden Mail in or absentee? There is a difference.,"Sentiment(polarity=0.0, subjectivity=0.0)"
102,jr_pettaman,@JoeBiden He is the President for God’s Sake. Not apples for apples. Joe you should beg for God’s forgiveness for g… https://t.co/NJQe4r3Igu,"Sentiment(polarity=0.0, subjectivity=0.0)"
103,crel2112,@JoeBiden If you can Riot. You can vote in person.,"Sentiment(polarity=0.0, subjectivity=0.0)"
104,NOTASERF_VASSAL,@JoeBiden You should vote via Pony Express.,"Sentiment(polarity=0.0, subjectivity=0.0)"
105,Lucycar96695897,@JoeBiden @JoeBiden is a man who throws blame and constantly knocks The president on divide of the country BUT all… https://t.co/737P4pFk0S,"Sentiment(polarity=0.0, subjectivity=0.3333333333333333)"
106,sandeep9285,@JoeBiden Trump 2020,"Sentiment(polarity=0.0, subjectivity=0.0)"
107,EllDevon,@JoeBiden But will your idea pass the sniff test.,"Sentiment(polarity=0.0, subjectivity=0.0)"
108,Therealtdavis,@JoeBiden Not the same thing Joe I think you know that.  It's already been proven mail in ballots are a disaster.… https://t.co/7H9rosNc9F,"Sentiment(polarity=0.0, subjectivity=0.125)"
109,LeliaUSA1,@JoeBiden Voting in person will work. 6 ft apart. Dems are desperate to cheat with mail in voting.,"Sentiment(polarity=-0.6, subjectivity=1.0)"
110,BillyJoeOwens,@JoeBiden Oh and if you can go to the store then you can go to the booths. Election Day should be Nov.1-2-3-4th the… https://t.co/BKPQcfby34,"Sentiment(polarity=0.0, subjectivity=0.0)"
111,MikeGil6246,@JoeBiden @cindyglenn214 Absentee is different than all mail in voting.,"Sentiment(polarity=0.0, subjectivity=0.6)"
112,mdjohnson9,@JoeBiden Everybody has been able to vote by mail for years. It's called absentee voting. Not the same as indiscrim… https://t.co/gQ9JPL4Yah,"Sentiment(polarity=0.25, subjectivity=0.375)"
113,ytkkaku4816pas1,"@JoeBiden do you have own ideas ???don’t imitate with better than you,,","Sentiment(polarity=0.55, subjectivity=0.75)"
114,JeanMinistries,@JoeBiden This guy is seriously sick!!,"Sentiment(polarity=-1.0, subjectivity=0.8571428571428571)"
115,LagoMaggorie,@JoeBiden Absentee ballot knucklehead know the differences,"Sentiment(polarity=0.0, subjectivity=0.0)"
116,debiegijoe,@JoeBiden What about the dead people do they count ?? You really hate America don’t you ??,"Sentiment(polarity=-0.5, subjectivity=0.65)"
117,MD_STAT,@JoeBiden bananas are yummy,"Sentiment(polarity=0.0, subjectivity=0.0)"
118,asjlive,@JoeBiden Don't care how I vote I'm not voting for you.,"Sentiment(polarity=0.0, subjectivity=0.0)"
119,chachmalone,"@JoeBiden A party that lost 33,000 emails wants us to vote by mail? Me thinks that is why they are still spreading… https://t.co/6oudIx1Bii","Sentiment(polarity=0.2, subjectivity=0.1)"
120,sacred_horse,"@JoeBiden Voted Absentee not by ""mail""!","Sentiment(polarity=0.0, subjectivity=0.0)"
121,CynthiaLaw6,@JoeBiden You have to apply for an absentee ballot. No just receive several randomly in the mail. Tell the truth for once!!!,"Sentiment(polarity=-0.48828125, subjectivity=0.25)"
122,michell4trump20,"@JoeBiden Dear Joe,  dems lie, bait, attach and have nothing to stand on expect hatred of POTUS founded on NS of fa… https://t.co/V7ugkBNRsT","Sentiment(polarity=0.0, subjectivity=0.0)"
123,karmannptny,"@JoeBiden Voted illegally by mail. There, I fixed it for ya. He cannot be a resident of Mar a Lago, since it’s a business.","Sentiment(polarity=-0.2, subjectivity=0.35)"
124,Bobbydino21,@JoeBiden No Joe.,"Sentiment(polarity=0.0, subjectivity=0.0)"
125,Demcytheater,"@JoeBiden A vote for Biden is a Vote for more dead Americans.  Yes, I know, so is a vote for Donald Trump.  I thoug… https://t.co/YVWDRYLq7x","Sentiment(polarity=0.15, subjectivity=0.45)"
126,HeyLady1776,@JoeBiden Voting fraud ! https://t.co/ejw0HxP1xH,"Sentiment(polarity=0.0, subjectivity=0.0)"
127,theVerbalghost,"@JoeBiden You can, called absentee ballot","Sentiment(polarity=0.0, subjectivity=0.0)"
128,diazrr4,@JoeBiden Joe Biden can't win in an open and fair election,"Sentiment(polarity=0.5, subjectivity=0.6)"
129,onilee53,@JoeBiden There you go again. Spin it to make it sounds like he did something he is against. He voted by mail becau… https://t.co/Wnoll8vQW9,"Sentiment(polarity=0.0, subjectivity=0.0)"
130,BillyJoeOwens,@JoeBiden What happens when YOUR cronies EVIL PLAN fails? Then republicans win for the next 30 yrs?,"Sentiment(polarity=-0.175, subjectivity=0.42500000000000004)"
131,mariawelter6,@JoeBiden Shut. Up.,"Sentiment(polarity=0.0, subjectivity=0.0)"
132,GoRejoicing,@JoeBiden ~ YEAH BUT he’s above the law… and above the fray. https://t.co/ZFX4blNISW,"Sentiment(polarity=0.0, subjectivity=0.1)"
133,GuyBeaumont,@JoeBiden Donald Trump is voting for Donald Trump. You should be able to as well.,"Sentiment(polarity=0.5, subjectivity=0.625)"
134,IvoryMosley,@JoeBiden 94 Crime Bill,"Sentiment(polarity=0.0, subjectivity=0.0)"
135,SharoninOkie,@JoeBiden Crooked and Creepy is what Biden stands for. Doesn’t have the memory left to remember,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.3666666666666667)"
136,SXY247,@JoeBiden Why so you &amp; Mick Obama can win by fraud?,"Sentiment(polarity=0.8, subjectivity=0.4)"
137,chachacha3869,"@JoeBiden Last I checked anyone can get an absentee ballot , as long as they are alive and a human . People should… https://t.co/jAXcGX1etn","Sentiment(polarity=0.0125, subjectivity=0.24166666666666667)"
138,Dogg_dad80,@JoeBiden https://t.co/ziiCsulIpJ,"Sentiment(polarity=0.0, subjectivity=0.0)"
139,sherry1138,@JoeBiden .@realDonaldTrump passed a cognitive test. You should be able to as well.,"Sentiment(polarity=0.5, subjectivity=0.625)"
140,SPTCO83,@JoeBiden I will go personally hand the Ballot for Joe Biden to the Voting Registar officer for counting.,"Sentiment(polarity=0.0, subjectivity=0.3)"
141,Hafforr,@JoeBiden By not telling the whole story you are a liar,"Sentiment(polarity=0.2, subjectivity=0.4)"
142,ZibaLady1,"@JoeBiden Bernie Sanders campaign co-chairwoman Nina Turner said: ""Endorsing Joe Biden for president would be like… https://t.co/uVWZ2omYVI","Sentiment(polarity=0.0, subjectivity=0.0)"
143,unclezgolf,@JoeBiden 2 months all you'll be able to do is lick a stamp with your DROOL,"Sentiment(polarity=0.5, subjectivity=0.625)"
144,12GASHOTGUN,"@JoeBiden WHAT A MARVELOUS DEDUCTION ""JOLLY JOE"" !!!!!!!!!!!!!!!!!!!!!","Sentiment(polarity=1.0, subjectivity=1.0)"
145,xierh5,@JoeBiden Joe get you head out of your ass...I mean basement!,"Sentiment(polarity=-0.390625, subjectivity=0.6875)"
146,GentlemenToxic,@JoeBiden With an ID?,"Sentiment(polarity=0.0, subjectivity=0.0)"
147,tentacle_pup,"@JoeBiden @brat2381 I will, &amp; your name will have a check next to it on this: https://t.co/veEYCudAdk","Sentiment(polarity=0.0, subjectivity=0.0)"
148,Duhla5,"@JoeBiden Absentee ballot Much different than bulk mailed ballots. You know that, but @JoeBiden will say anything","Sentiment(polarity=0.0, subjectivity=0.6)"
149,chevjoe,"@JoeBiden Get with the times... mail? Then allow voting via a website... encryption, data governence, unique identi… https://t.co/GBuNXRwg4O","Sentiment(polarity=0.375, subjectivity=1.0)"
150,RJDeplorable,@JoeBiden 🤣😂 thats why my dead neighbor still gets a ballot.  Her husband throws them away. Democrats will cheat like they always do!,"Sentiment(polarity=-0.25, subjectivity=0.4)"
151,PatriciaABever2,@JoeBiden I hate stupid people ( trumpkins )!! VOTE BIDEN BEFORE ALL AMERICANS ARE INFECTED WITH trump AS PRESIDENT… https://t.co/ehC2OGPGDA,"Sentiment(polarity=-0.9, subjectivity=0.95)"
152,SHARHAIR,"@JoeBiden 1,000s of ""protesters"" have gathered in mass gatherings for 50+ days straight with no apparent outbreak/s… https://t.co/fIOZmY5WJB","Sentiment(polarity=0.08750000000000001, subjectivity=0.375)"
153,Aniquery,@JoeBiden How high can you jump Joe Biden if China asked you Joe Biden to jump?,"Sentiment(polarity=0.16, subjectivity=0.54)"
154,Sunnysunny2day,"@JoeBiden I want to vote in person.  IN PERSON.  Why should we have to mail them in.  You know as well as I do, hal… https://t.co/3vc0HNYeQQ","Sentiment(polarity=0.0, subjectivity=0.0)"
155,Patriot79Baker,"@JoeBiden Whatever little 20-something policy wonk wrote this on behalf of Creepy Uncle Joe, first, I hope he hasn'… https://t.co/aoEi01T2zb","Sentiment(polarity=-0.14583333333333334, subjectivity=0.611111111111111)"
156,patriotlove74,@JoeBiden Do a live debate with him and I’ll consider it.,"Sentiment(polarity=0.13636363636363635, subjectivity=0.5)"
157,QWarrior2020,@JoeBiden Who would vote for this mess 👇👇👇👇👇 https://t.co/H6loTiAjSk,"Sentiment(polarity=-0.175, subjectivity=0.175)"
158,DanHugh86409520,@JoeBiden Cheater,"Sentiment(polarity=0.0, subjectivity=0.0)"
159,1972cad1,@JoeBiden No!,"Sentiment(polarity=0.0, subjectivity=0.0)"
160,DeepSouthProud,"@JoeBiden There is no need for 330 million Americans to vote by mail. Go back to bed, Joe.","Sentiment(polarity=0.0, subjectivity=0.0)"
161,Ringo1256,@JoeBiden Derpity derp derp,"Sentiment(polarity=0.0, subjectivity=0.0)"
162,PatRiot87876896,"@JoeBiden Hi Jill. Absentee ballot. Not ""vote by mail"".","Sentiment(polarity=0.0, subjectivity=0.0)"
163,AndrewJ82238156,@JoeBiden So do all the dead democrats,"Sentiment(polarity=-0.2, subjectivity=0.4)"
164,PoliticallyDis1,@JoeBiden https://t.co/UkE28MbaYq,"Sentiment(polarity=0.0, subjectivity=0.0)"
165,whatzudogorcat,@JoeBiden https://t.co/8uulHYWm21,"Sentiment(polarity=0.0, subjectivity=0.0)"
166,quesogrande1970,@JoeBiden I think voting by mail is a good policy at this point. Please convince me with possible smart policies we… https://t.co/D30ybmGk8y,"Sentiment(polarity=0.30476190476190473, subjectivity=0.7476190476190476)"
167,TX_BLU_Girl,"@JoeBiden Listen ALL, if you have the option to vote by mail please do it EARLY!! In many elections votes were deem… https://t.co/ivO0NFBXZd","Sentiment(polarity=0.328125, subjectivity=0.4)"
168,Dannydeacon1970,@JoeBiden No thanks.  I don’t want workers whose union endorses you playing election official.,"Sentiment(polarity=-0.1, subjectivity=0.2)"
169,nicoledurmire,@JoeBiden your voters must be really stupid to fall for this bullshit,"Sentiment(polarity=-0.7999999999999999, subjectivity=1.0)"
170,ms_susanmarie,@JoeBiden @BrunoAmato_1 And Trump is the biggest Fake American there is!,"Sentiment(polarity=-0.25, subjectivity=0.5)"
171,mikerok_mike,"@JoeBiden Yep, make voting by mail an option, not mandatory. Thank you, silent joe.","Sentiment(polarity=0.0, subjectivity=0.1)"
172,R_Faith_1,@JoeBiden Donald Trump voted by absontee ballot and ID. Next. .?  You're pathetic QuidProJoe.🙄,"Sentiment(polarity=-0.5, subjectivity=0.5)"
173,MadMax17956746,"@JoeBiden You told us to vote in person during the primaries, during full lock down. You have no standing. #dropoutjoe","Sentiment(polarity=0.09722222222222221, subjectivity=0.4194444444444445)"
174,ChpDawg27,@JoeBiden Do you even know what your voting for? Or running for?,"Sentiment(polarity=0.0, subjectivity=0.0)"
175,daurbanconsumer,@JoeBiden Who’s says we can’t?? 😳,"Sentiment(polarity=0.0, subjectivity=0.0)"
176,USA_democary,"@JoeBiden Yes we should. Is it possible for Trump to not fund the post office? Even if he can, can volunteers deliv… https://t.co/kwRalaJW8J","Sentiment(polarity=0.0, subjectivity=1.0)"
177,crimefighter77,@JoeBiden Joe Biden touches young children inappropriately.,"Sentiment(polarity=0.1, subjectivity=0.4)"
178,bob_koeller,@JoeBiden Cheatin joe... Absentee ballot ... Ooops forgot that part,"Sentiment(polarity=0.0, subjectivity=0.0)"
179,VincentYanni,@JoeBiden Big difference between mail-in voting and absentee ballot voting. #Trump2020,"Sentiment(polarity=0.0, subjectivity=0.1)"
180,akotas01,@JoeBiden If masks works then what’s the problem??? We can stand in line and vote!,"Sentiment(polarity=0.0, subjectivity=0.0)"
181,RobertFrisone,@JoeBiden There is a difference between absentee ballots ( which are requested by the voter of people in the arm fo… https://t.co/MTWf3emJw4,"Sentiment(polarity=0.0, subjectivity=0.0)"
182,samanta2065,@JoeBiden DIOS ES EL UNICO QUE DECIDE Y EL NO TE QUIERE EN EL PODER VENEZUELA ESTA CON TRUMP 🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪🇻🇪,"Sentiment(polarity=0.0, subjectivity=0.0)"
183,justnancyaustin,@JoeBiden Are you playing dumb or is this real? Absentee voting has always existed and no one is disputing that.,"Sentiment(polarity=-0.0875, subjectivity=0.4)"
